test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Ulsan_Namgu/101/20250429T202357890796,87,13,8850.77356,13580.9
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202228890910,86,14,8561.51634,13271.86
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202528690728,87,13,8993.04533,13503.23
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203345972332,85,15,8819.97368,13137.15
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202657930066,87,13,8762.99857,12547.15
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202442948150,87,13,8862.05706,12642.34
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203432447596,86,14,9172.69341,12483.97
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203648535709,83,17,8671.14552,12923.09
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203255663533,86,14,8753.99408,12828.27
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202312920336,82,18,8753.29739,12711.08
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202612942891,83,17,8806.02474,13386.74
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203125606717,89,11,8757.04977,12955.85
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203603362699,86,14,8787.22976,12464.66
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202956896730,82,18,8794.70444,12403.85
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203210851049,83,17,9012.72613,12843.45
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202912529202,85,15,8635.84245,13641.56
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202742841509,86,14,8855.77345,12246.14
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203518794074,83,17,8657.27387,14119.88
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202827726478,84,16,8511.62983,12267.88
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203041989482,85,15,8756.95082,13681.0
------,------,------,------,------
MEAN,,,8788.8350,12982.0025
