test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Incheon_big/16/20250501T144107459221,10,5,0.01261,5450.03
------,------,------,------,------
data/testing/Incheon_big/16/20250501T144309776405,9,6,0.01149,5523.8
------,------,------,------,------
data/testing/Incheon_big/16/20250501T144300357319,11,4,0.0098,6778.61
------,------,------,------,------
data/testing/Incheon_big/16/20250501T144337722661,10,5,0.00972,6297.76
------,------,------,------,------
data/testing/Incheon_big/16/20250501T144213145819,9,6,0.01141,6148.31
------,------,------,------,------
data/testing/Incheon_big/16/20250501T144126581879,9,6,0.01065,6179.29
------,------,------,------,------
data/testing/Incheon_big/16/20250501T144203774787,9,6,0.0104,6414.15
------,------,------,------,------
data/testing/Incheon_big/16/20250501T144223075979,10,5,0.00975,5983.74
------,------,------,------,------
data/testing/Incheon_big/16/20250501T144145050382,9,6,0.01004,7340.13
------,------,------,------,------
data/testing/Incheon_big/16/20250501T144057874828,9,6,0.0101,6827.49
------,------,------,------,------
MEAN,,,0.0106,6294.3310
