test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Incheon_small/9/20250501T185243138318,4,4,0.00527,1738.9
------,------,------,------,------
data/testing/Incheon_small/9/20250501T185246599844,4,4,0.00242,1668.96
------,------,------,------,------
data/testing/Incheon_small/9/20250501T185241556413,5,3,0.00241,1756.48
------,------,------,------,------
data/testing/Incheon_small/9/20250501T185238560462,5,3,0.00213,1858.96
------,------,------,------,------
data/testing/Incheon_small/9/20250501T185240643890,5,3,0.00221,1560.06
------,------,------,------,------
data/testing/Incheon_small/9/20250501T185243638187,5,3,0.00226,2268.4
------,------,------,------,------
data/testing/Incheon_small/9/20250501T185245159016,5,3,0.00193,2810.42
------,------,------,------,------
data/testing/Incheon_small/9/20250501T185238037685,5,3,0.0022,1570.37
------,------,------,------,------
data/testing/Incheon_small/9/20250501T185246117659,5,3,0.00231,2075.97
------,------,------,------,------
data/testing/Incheon_small/9/20250501T185242597975,5,3,0.00218,2055.86
------,------,------,------,------
MEAN,,,0.0025,1936.4380
