test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Ulsan_Namgu/9/20250429T201128642965,5,3,0.00104,860.13
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201127607522,4,4,0.00119,809.05
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201129352193,5,3,0.00109,834.69
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201127238276,5,3,0.00115,1020.09
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201128293848,5,3,0.00122,1050.68
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201130406725,5,3,0.00111,946.92
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201124212065,6,2,0.00103,1022.7
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201128973984,5,3,0.00116,988.0
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201123529537,5,3,0.00103,722.5
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201126241147,4,4,0.00122,803.56
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201125040405,5,3,0.00105,994.42
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201126885314,4,4,0.00118,1013.9
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201126569215,5,3,0.00103,643.9
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201124640438,5,3,0.00114,897.75
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201125429764,5,3,0.00118,1018.75
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201127939697,5,3,0.00105,821.09
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201130063727,5,3,0.00115,772.5
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201123878894,6,2,0.00105,728.18
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201125804942,5,3,0.00109,705.79
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201129707459,5,3,0.00117,644.61
------,------,------,------,------
MEAN,,,0.0011,864.9605
