test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Ulsan_Namgu/51/20250429T201912067367,50,0,0.03337,3330.47
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201750104638,50,0,0.03525,3017.16
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201849247948,50,0,0.03846,3825.98
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201802450702,50,0,0.03165,3244.89
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201608047243,50,0,0.03581,3384.92
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201900569834,50,0,0.04852,3084.1
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201620709128,50,0,0.0281,3164.69
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201555811937,50,0,0.04508,3179.44
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201814842660,50,0,0.0331,3405.64
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201737636820,50,0,0.05179,3404.18
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201837825985,50,0,0.02809,2944.32
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201923224192,50,0,0.05114,3233.57
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201934646240,50,0,0.03206,3193.63
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201645802186,50,0,0.06763,3011.1
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201543902133,50,0,0.03663,3302.15
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201826686643,50,0,0.03416,3195.93
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201659095853,50,0,0.03348,3222.75
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201711750832,50,0,0.0362,3012.24
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201724936277,50,0,0.04218,3106.26
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201633109714,50,0,0.06121,2989.47
------,------,------,------,------
MEAN,,,0.0402,3212.6445
